start_ts,end_ts,src_ip,dst_ip,src_port,dst_port,protocol,tos,tcp_flags,packet_count,bytes,router_in_port,router_out_port
1361951998.059,1361951998.059,7.35.157.38,18.141.190.84,23572,80,6,0,0,1,52,50,78
1361951998.059,1361951998.059,7.35.157.38,18.141.190.84,63962,80,6,0,0,1,52,50,78
1361951998.059,1361951998.059,248.207.38.29,102.92.244.44,53,28438,17,0,0,1,157,50,78
1361951998.058,1361951998.058,66.244.110.248,41.43.208.46,64726,12596,17,0,0,1,349,57,50
1361951998.058,1361951998.058,102.92.244.44,248.207.38.29,54025,53,17,0,0,1,71,78,49
1361951998.058,1361951998.058,102.92.244.44,248.207.38.29,28438,53,17,0,0,1,71,78,49
1361951998.058,1361951998.058,49.123.52.128,41.43.197.51,80,50560,6,32,0,1,64,57,50
1361951998.058,1361951998.058,173.238.205.252,41.43.208.218,4466,26658,17,32,0,1,46,57,50
1361951998.058,1361951998.058,248.207.48.41,179.175.197.130,48894,53,17,0,0,1,78,50,57
1361951998.054,1361951998.054,102.92.244.44,248.207.38.29,3867,53,17,0,0,1,71,78,49
1361951998.054,1361951998.054,248.207.38.29,102.92.244.44,53,3867,17,0,0,1,157,50,78
1361951998.054,1361951998.054,7.35.213.1,24.244.207.179,57207,80,6,0,0,1,46,50,78
1361951998.054,1361951998.054,18.141.190.74,7.35.157.38,80,32534,6,0,0,1,52,78,50
1361951998.054,1361951998.054,169.2.126.76,7.35.48.174,31764,53,17,32,0,1,87,57,50
1361951998.054,1361951998.054,7.35.48.174,169.2.126.76,53,31764,17,0,0,1,183,49,78
1361951998.054,1361951998.054,216.175.176.117,7.35.156.245,80,40385,6,0,0,1,52,78,50
1361951994.726,1361951994.726,168.239.199.138,7.35.93.113,53,41303,17,0,0,1,88,57,50
1361951998.058,1361951998.058,41.43.163.72,74.240.70.54,38003,443,6,0,0,1,52,50,57
1361951998.058,1361951998.058,124.114.23.237,41.43.196.74,51361,21761,6,32,0,1,46,57,50
1361951998.058,1361951998.058,81.32.172.190,7.35.93.70,53,47940,17,32,0,1,91,57,50
1361951998.122,1361951998.122,84.181.129.25,41.43.208.250,48401,34375,17,32,0,1,258,57,50
1361951998.122,1361951998.122,59.52.158.153,41.43.200.81,443,54139,6,0,0,1,89,78,50
1361951998.058,1361951998.058,179.175.196.167,248.207.48.41,53,8688,17,32,0,1,400,57,50
1361951998.058,1361951998.058,7.35.93.70,66.239.112.169,15924,53,17,0,0,1,108,50,78
